name,born,height,weight,position,games_played,goals,assists,plus_minus,penalty_minutes,salary
Ryan Sproul,1993,76,211,D,27,1,6,-8,6,$600'000.00
Jared Spurgeon,1989,69,164,D,76,10,28,33,20,$4'250'000.00
Eric Staal,1984,76,208,C,82,28,37,17,34,$3'500'000.00
Jordan Staal,1988,76,220,C,75,16,29,-1,38,$6'000'000.00
Marc Staal,1987,76,209,D,72,3,7,9,34,$6'000'000.00
Drew Stafford,1985,74,214,RW,58,8,13,6,24,$4'350'000.00
Matt Stajan,1983,73,195,C,81,6,17,3,40,$3'000'000.00
Viktor Stalberg,1986,75,209,LW,75,11,5,-9,41,$1'500'000.00
Steven Stamkos,1990,73,194,C,17,9,11,3,14,$9'500'000.00
Paul Stastny,1985,72,202,C,66,18,22,4,36,$7'000'000.00
Troy Stecher,1994,70,190,D,71,3,21,-16,25,$925'000.00
Alex Steen,1984,72,211,LW,76,16,35,-2,53,$6'500'000.00
Lee Stempniak,1983,71,195,RW,82,16,24,2,32,$2'500'000.00
Derek Stepan,1990,72,196,C,81,17,38,19,16,$8'000'000.00
Chandler Stephenson,1994,72,204,C,4,0,0,0,0,$842'500.00
Chris Stewart,1987,74,239,RW,79,13,8,3,94,$1'200'000.00
Karl Stollery,1987,71,180,D,11,0,3,-5,13,$575'000.00
Mark Stone,1992,75,206,RW,71,22,32,12,25,$3'750'000.00
Michael Stone,1990,75,210,D,64,3,12,0,32,$4'000'000.00
Clayton Stoner,1985,76,216,D,14,1,2,0,28,$3'250'000.00
Brian Strait,1988,73,206,D,5,0,2,-1,0,$600'000.00
Anton Stralman,1986,71,190,D,73,5,17,1,20,$4'500'000.00
Ben Street,1987,71,199,C,6,0,1,1,0,$600'000.00
Mark Streit,1977,71,191,D,68,6,21,-12,28,$4'000'000.00
Dylan Strome,1997,75,185,C,7,0,1,-5,0,$925'000.00
Ryan Strome,1993,73,199,RW,69,13,17,-8,40,$2'000'000.00
Mark Stuart,1984,74,215,D,42,2,2,4,27,$2'700'000.00
P.K. Subban,1989,72,210,D,66,10,30,-8,44,$11'000'000.00
Oskar Sundqvist,1994,75,209,C,10,0,0,-4,2,$792'500.00
Andrej Sustr,1990,79,220,D,80,3,11,-10,43,$1'600'000.00
Ryan Suter,1985,74,206,D,82,9,31,34,36,$9'000'000.00
Brandon Sutter,1989,75,191,C,81,17,17,-20,12,$4'250'000.00
Evgeny Svechnikov,1996,75,205,RW,2,0,0,0,0,$925'000.00
Brandon Tanev,1991,72,180,LW,51,2,2,-6,26,$874'125.00
Chris Tanev,1989,74,195,D,53,2,8,3,14,$3'500'000.00
