name,born,height,weight,position,games_played,goals,assists,plus_minus,penalty_minutes,salary
Joseph Cramarossa,1992,72,192,C,59,4,6,0,60,$724'500.00
Sidney Crosby,1987,71,200,C,75,44,45,17,24,$10'900'000.00
Lawson Crouse,1997,76,220,LW,72,5,7,-20,48,$925'000.00
Matt Cullen,1976,73,200,C,72,13,18,4,30,$1'000'000.00
Austin Czarnik,1992,69,160,C,49,5,8,-10,12,$842'500.00
Klas Dahlbeck,1991,75,207,D,43,2,4,-12,30,$750'000.00
Trevor Daley,1983,71,195,D,56,5,14,7,37,$2'700'000.00
Zac Dalpe,1989,74,199,C,9,1,2,0,9,$600'000.00
Phillip Danault,1993,73,193,LW,82,13,27,5,35,$875'000.00
Marko Dano,1994,71,212,C,38,4,7,0,10,$925'000.00
Laurent Dauphin,1995,73,180,C,24,2,1,-2,12,$767'500.00
Brandon Davidson,1991,74,210,D,38,0,3,-2,20,$1'300'000.00
Calvin de Haan,1991,73,197,D,82,5,20,15,36,$2'900'000.00
Jacob De la Rose,1995,75,214,LW,9,0,0,-3,4,$925'000.00
Jean-Sebastien Dea,1994,71,175,C,1,0,0,0,2,$575'000.00
Anthony Deangelo,1995,71,183,D,39,5,9,-13,37,$925'000.00
Danny DeKeyser,1990,75,192,D,82,4,8,-22,33,$4'000'000.00
Michael Del Zotto,1990,72,195,D,51,6,12,-5,28,$4'000'000.00
Dylan Demelo,1993,73,195,D,25,1,7,2,14,$600'000.00
Jason Demers,1988,73,200,D,81,9,19,-14,53,$5'500'000.00
David Desharnais,1986,67,176,C,49,6,8,4,12,$3'500'000.00
Andrew Desjardins,1986,73,195,LW,46,0,1,-6,22,$800'000.00
Nicolas Deslauriers,1991,73,216,LW,42,0,2,-6,38,$775'000.00
Simon Despres,1991,76,218,D,1,0,0,0,0,$2'600'000.00
Phillip Di Giuseppe,1993,72,200,LW,36,1,6,-12,15,$867'500.00
Jason Dickinson,1995,74,205,C,10,2,0,-3,0,$925'000.00
Chris Didomenico,1989,71,174,C,3,0,0,0,6,$575'000.00
Brenden Dillon,1990,76,230,D,81,2,8,-2,60,$2'750'000.00
Shane Doan,1976,73,223,RW,74,6,21,-3,48,$3'876'134.00
Max Domi,1995,70,198,LW,59,9,29,-9,40,$832'500.00
Joonas Donskoi,1992,72,190,RW,61,6,11,-5,10,$925'000.00
Derek Dorsett,1986,72,192,RW,14,1,3,-6,33,$2'500'000.00
Jake Dotchin,1994,75,210,D,35,0,11,10,35,$615'000.00
Drew Doughty,1989,73,195,D,82,12,32,8,46,$7'450'000.00
Nic Dowd,1990,74,196,C,70,6,16,-15,25,$630'000.00
Justin Dowling,1990,70,185,C,9,0,2,0,2,$625'000.00
Leon Draisaitl,1995,73,216,C,82,29,48,7,20,$925'000.00
Jonathan Drouin,1995,71,188,LW,73,21,32,-13,16,$832'500.00
Brandon Dubinsky,1986,74,218,C,80,12,29,16,91,$5'850'000.00
Matt Duchene,1991,71,195,C,77,18,23,-34,12,$6'000'000.00
Anthony Duclair,1995,71,185,LW,58,5,10,-7,14,$832'500.00
Matt Dumba,1994,72,183,D,76,11,23,15,59,$2'350'000.00
Gabriel Dumont,1990,70,190,C,39,2,2,1,29,$575'000.00
Brian Dumoulin,1991,76,207,D,70,1,14,0,14,$800'000.00
Christian Dvorak,1996,72,187,C,78,15,18,7,22,$792'500.00
Ryan Dzingel,1992,72,187,LW,81,14,18,7,30,$750'000.00
Cody Eakin,1991,72,190,C,60,3,9,-7,49,$3'850'000.00
Patrick Eaves,1984,72,200,RW,79,32,19,-2,24,$1'000'000.00
Jordan Eberle,1990,71,184,RW,82,20,31,3,16,$6'000'000.00
Alex Edler,1986,75,214,D,68,6,15,-20,36,$6'000'000.00
Joel Edmundson,1993,76,220,D,69,3,12,11,60,$900'000.00
Nikolaj Ehlers,1996,72,172,LW,82,25,39,1,38,$925'000.00
Jack Eichel,1996,74,196,C,61,24,33,-13,22,$925'000.00
Aaron Ekblad,1996,76,216,D,68,10,11,-23,58,$925'000.00
Mattias Ekholm,1990,76,215,D,82,3,20,4,34,$3'000'000.00
Oliver Ekman-Larsson,1991,74,200,D,79,12,27,-25,48,$6'000'000.00
Remi Elie,1995,73,210,LW,18,1,6,5,8,$767'500.00
Lars Eller,1989,74,207,C,81,12,13,15,36,$4'250'000.00
Ryan Ellis,1991,70,180,D,71,16,22,17,29,$2'500'000.00
Alexei Emelin,1986,74,218,D,76,2,8,1,71,$4'200'000.00
Deryk Engelland,1982,74,214,D,81,4,12,2,85,$2'750'000.00
Andreas Englund,1996,75,189,D,5,0,0,-3,2,$742'500.00
Tyler Ennis,1989,69,175,LW,51,5,8,-10,12,$3'650'000.00
Tobias Enstrom,1984,70,180,D,60,1,13,-7,42,$5'750'000.00
Jonathan Ericsson,1984,76,220,D,51,1,8,-2,63,$4'250'000.00
Loui Eriksson,1985,74,196,LW,65,11,13,-9,8,$8'000'000.00
Joel Eriksson Ek,1997,74,197,C,15,3,4,1,4,$925'000.00
Adam Erne,1995,73,214,LW,26,3,0,-9,11,$925'000.00
Emerson Etem,1992,73,212,LW,3,0,0,1,2,$775'000.00
Robby Fabbri,1996,70,195,C,51,11,18,-16,27,$925'000.00
Radek Faksa,1994,75,210,C,80,12,21,-6,67,$832'500.00
Justin Falk,1988,77,222,D,52,0,8,-3,29,$650'000.00
Bobby Farnham,1989,70,190,RW,3,0,0,0,17,$575'000.00
Hudson Fasching,1995,74,209,RW,10,0,1,-1,2,$925'000.00
Jesper Fast,1991,72,190,RW,68,6,15,6,16,$1'000'000.00
Justin Faulk,1992,72,215,D,75,17,20,-18,32,$5'500'000.00
Mark Fayne,1987,75,212,D,4,0,2,1,0,$3'500'000.00
Taylor Fedun,1988,73,198,D,27,0,7,3,16,$600'000.00
Eric Fehr,1985,76,212,C,53,6,5,2,14,$2'000'000.00
Micheal Ferland,1992,74,208,LW,76,15,10,-1,50,$900'000.00
Kevin Fiala,1996,70,193,LW,54,11,5,1,18,$925'000.00
Vernon Fiddler,1980,71,205,C,59,2,2,-15,66,$1'250'000.00
Valtteri Filppula,1984,72,196,C,79,12,30,-1,26,$5'000'000.00
Christian Fischer,1997,74,214,RW,7,3,0,0,0,$817'500.00
Mike Fisher,1980,73,216,C,72,18,24,1,55,$4'000'000.00
Brian Flynn,1988,73,183,C,51,6,4,2,4,$950'000.00
Marcus Foligno,1991,75,228,LW,80,13,10,-1,73,$2'250'000.00
Nick Foligno,1987,72,205,LW,79,26,25,-4,55,$5'500'000.00
Christian Folin,1991,75,204,D,51,2,6,10,26,$850'000.00
Derek Forbort,1992,76,216,D,82,2,16,8,54,$650'000.00
Jakob Forsbacka Karlsson,1996,73,184,C,1,0,0,0,0,$900'000.00
Filip Forsberg,1994,73,205,LW,82,31,27,-4,32,$6'000'000.00
Gustav Forsling,1996,72,186,D,38,2,3,3,4,$767'500.00
Cam Fowler,1991,73,207,D,80,11,28,7,20,$4'000'000.00
Cody Franson,1987,77,224,D,68,3,16,-5,34,$2'650'000.00
Martin Frk,1993,73,194,RW,2,0,0,-3,0,$650'000.00
Byron Froese,1991,72,205,C,6,0,0,-3,5,$575'000.00
Michael Frolik,1988,73,194,RW,82,17,27,13,58,$5'000'000.00
Marian Gaborik,1982,73,205,RW,56,10,11,-4,18,$6'075'000.00
Kurtis Gabriel,1993,76,211,RW,13,0,1,0,29,$725'000.00
Sam Gagner,1989,71,200,C,81,18,32,10,22,$650'000.00
Alex Galchenyuk,1994,73,210,C,61,17,27,-5,24,$3'100'000.00
Brendan Gallagher,1992,69,182,RW,64,10,19,7,39,$4'500'000.00
Ryan Garbutt,1985,72,195,C,27,2,1,-3,20,$2'000'000.00
Jake Gardiner,1990,74,200,D,82,9,34,24,34,$4'050'000.00
Jason Garrison,1984,73,218,D,70,1,8,-8,14,$3'600'000.00
Tyler Gaudet,1993,75,205,C,4,0,1,0,0,$874'125.00
Frederick Gaudreau,1993,72,179,C,9,0,1,1,0,$595'000.00
Johnny Gaudreau,1993,69,157,LW,72,18,43,-7,4,$6'750'000.00
Brendan Gaunce,1994,74,217,C,57,0,5,-2,33,$832'500.00
Cameron Gaunce,1990,73,210,D,12,1,3,1,13,$575'000.00
Frederik Gauthier,1995,77,235,C,21,2,1,2,23,$832'500.00
Luke Gazdic,1989,76,225,LW,11,0,0,-2,12,$700'000.00
Eric Gelinas,1991,76,215,D,27,0,1,-4,12,$1'650'000.00
Ryan Getzlaf,1985,76,221,C,74,15,58,7,49,$9'250'000.00
Tom Gilbert,1983,74,210,D,18,1,4,-4,6,$1'400'000.00
Brian Gionta,1979,67,178,RW,82,15,20,-11,22,$3'250'000.00
Stephen Gionta,1983,67,175,RW,26,1,5,9,2,$575'000.00
Mark Giordano,1983,72,198,D,81,12,27,22,59,$6'750'000.00
Dan Girardi,1984,73,212,D,63,4,11,8,16,$6'000'000.00
Zemgus Girgensons,1994,74,200,C,75,7,9,-7,18,$1'150'000.00
Claude Giroux,1988,71,185,C,82,14,44,-15,38,$9'000'000.00
Tanner Glass,1983,73,213,LW,11,1,1,0,17,$1'000'000.00
Luke Glendening,1989,71,199,C,74,3,11,-10,26,$675'000.00
Nikolay Goldobin,1995,71,185,RW,14,3,0,0,0,$925'000.00
Alex Goligoski,1985,71,185,D,82,6,30,-9,28,$5'375'000.00
Cody Goloubef,1989,73,200,D,33,0,5,-11,25,$800'000.00
Barclay Goodrow,1993,74,215,RW,3,0,1,0,0,$635'000.00
Boyd Gordon,1983,72,200,C,13,1,0,-5,2,$950'000.00
Josh Gorges,1984,73,204,D,66,1,5,-3,50,$3'900'000.00
Shayne Gostisbehere,1993,71,180,D,76,7,32,-21,32,$925'000.00
Yanni Gourde,1991,69,172,C,20,6,2,-1,8,$575'000.00
Michael Grabner,1987,73,185,RW,76,27,13,22,10,$1'650'000.00
Petter Granberg,1992,75,200,D,10,0,0,0,10,$575'000.00
Markus Granlund,1993,72,183,C,69,19,13,-19,14,$850'000.00
Mikael Granlund,1992,70,184,C,81,26,43,23,12,$3'200'000.00
Derek Grant,1990,75,212,C,46,0,4,-5,24,$650'000.00
Tyler Graovac,1993,77,212,C,52,7,2,7,10,$600'000.00
Kevin Gravel,1992,76,212,D,49,1,6,3,6,$667'500.00
Mike Green,1985,73,207,D,72,14,22,-20,40,$6'000'000.00
Andy Greene,1982,71,190,D,66,4,9,-16,8,$5'000'000.00
Matt Greene,1983,75,236,D,26,1,1,3,19,$2'500'000.00
A.J. Greer,1996,75,204,LW,5,0,1,-2,4,$725'000.00
Alex Grenier,1991,77,200,RW,3,0,0,-1,0,$600'000.00
Seth Griffith,1993,69,191,C,24,0,5,6,8,$625'000.00
Mikhail Grigorenko,1994,75,209,C,75,10,13,-14,18,$1'300'000.00
Rocco Grimaldi,1993,66,180,C,4,0,1,-3,2,$925'000.00
Nicklas Grossmann,1985,76,230,D,3,0,0,-4,2,
Eric Gryba,1988,76,225,D,40,2,4,-5,65,$950'000.00
Matt Grzelcyk,1994,69,174,D,2,0,0,0,2,$792'500.00
Radko Gudas,1990,72,204,D,67,6,17,8,93,$4'000'000.00
Erik Gudbranson,1992,77,220,D,30,1,5,-14,18,$3'500'000.00
Jake Guentzel,1994,71,180,C,40,16,17,7,10,$667'500.00
Brendan Guhle,1997,73,186,D,3,0,0,1,0,$667'500.00
Carl Gunnarsson,1986,74,197,D,56,0,6,-5,4,$2'900'000.00
Denis Gurianov,1997,75,200,RW,1,0,0,-1,0,
Carl Hagelin,1988,71,186,LW,61,6,16,10,16,$3'667'000.00
Robert Hagg,1995,74,204,D,1,0,0,0,0,$925'000.00
Ron Hainsey,1981,75,210,D,72,4,13,-8,21,$2'500'000.00
Micheal Haley,1986,71,205,C,58,2,10,6,128,$625'000.00
Taylor Hall,1991,73,201,LW,72,20,33,-9,32,$6'000'000.00
Dan Hamhuis,1982,73,200,D,79,1,15,-7,23,$4'500'000.00
Dougie Hamilton,1993,78,210,D,81,13,37,12,64,$5'500'000.00
Freddie Hamilton,1992,73,195,C,26,2,0,-3,8,$575'000.00
Travis Hamonic,1990,74,205,D,49,3,11,-21,60,$4'875'000.00
Noah Hanifin,1997,75,206,D,81,4,25,-19,26,$925'000.00
Joel Hanley,1991,72,193,D,7,0,0,-3,4,$600'000.00
Markus Hannikainen,1993,74,195,LW,10,1,1,0,6,$742'500.00
Jannik Hansen,1986,73,194,RW,43,8,12,2,34,$3'000'000.00
Martin Hanzal,1987,78,226,C,71,20,19,-17,53,$3'500'000.00
Shane Harper,1989,71,193,RW,14,2,1,-1,18,$650'000.00
Ben Harpur,1995,78,222,D,6,0,0,-1,0,$655'000.00
Scott Harrington,1993,74,219,D,22,1,2,3,10,$632'500.00
Ryan Hartman,1994,72,181,LW,76,19,12,13,70,$832'500.00
Scott Hartnell,1982,74,215,LW,78,13,24,14,63,$5'000'000.00
Garnet Hathaway,1991,74,208,RW,26,1,4,0,44,$722'500.00
Erik Haula,1991,72,193,C,72,15,11,5,28,$1'050'000.00
John Hayden,1995,75,223,LW,12,1,3,3,4,$925'000.00
Jimmy Hayes,1989,77,215,RW,58,2,3,-3,29,$2'300'000.00
Kevin Hayes,1992,77,215,C,76,17,32,10,18,$2'600'000.00
Victor Hedman,1990,78,223,D,79,16,56,3,47,$4'250'000.00
Tim Heed,1991,71,165,D,1,0,0,0,0,$775'000.00
Danton Heinen,1995,73,185,C,8,0,0,-3,2,$767'500.00
Seth Helgeson,1990,76,210,D,9,1,0,2,15,$600'000.00
Darren Helm,1987,72,196,C,50,8,9,-6,20,$5'000'000.00
Ales Hemsky,1983,72,185,RW,15,4,3,-1,0,$4'000'000.00
Matt Hendricks,1981,72,209,LW,42,4,3,-3,29,$1'850'000.00
Samuel Henley,1993,76,210,C,1,1,0,1,2,$590'000.00
Adam Henrique,1990,72,195,C,82,20,20,-20,38,$4'500'000.00
Tomas Hertl,1993,74,215,C,49,10,12,-8,14,$2'800'000.00
Thomas Hickey,1989,72,189,D,76,4,16,-1,35,$2'250'000.00
Vinnie Hinostroza,1994,69,173,LW,49,6,8,-1,17,$667'500.00
Niklas Hjalmarsson,1987,75,197,D,73,5,13,12,20,$4'100'000.00
Joshua Ho-Sang,1996,72,173,RW,21,4,6,1,12,$925'000.00
Mike Hoffman,1989,72,180,LW,74,26,35,17,51,$3'800'000.00
Nick Holden,1987,76,214,D,80,11,23,13,35,$1'650'000.00
Peter Holland,1991,74,200,C,48,5,7,-16,22,$1'300'000.00
Korbinian Holzer,1988,75,215,D,32,2,5,0,23,$700'000.00
Julius Honka,1995,71,195,D,16,1,4,-4,4,$925'000.00
Patric Hornqvist,1987,71,189,RW,70,21,23,16,28,$4'750'000.00
Bo Horvat,1995,72,223,C,81,20,32,-7,27,$832'500.00
Marian Hossa,1979,73,207,RW,73,26,19,7,8,$4'000'000.00
Quinton Howden,1992,74,189,C,5,0,0,1,0,$650'000.00
Marek Hrivik,1991,74,197,LW,16,0,2,-3,2,$600'000.00
Jonathan Huberdeau,1993,73,188,LW,31,10,16,-2,13,$4'000'000.00
Jiri Hudler,1984,70,190,RW,32,3,8,-3,4,$2'000'000.00
Charles Hudon,1994,70,195,LW,3,0,2,1,2,$575'000.00
Brad Hunt,1988,69,187,D,12,1,5,-1,2,$600'000.00
Matt Hunwick,1985,71,200,D,72,1,18,8,18,$1'200'000.00
Ben Hutton,1993,74,207,D,71,5,14,-22,31,$925'000.00
Zach Hyman,1992,73,210,C,82,10,18,2,30,$900'000.00
Jarome Iginla,1977,73,210,RW,80,14,13,-30,70,$5'000'000.00
Matt Irwin,1987,73,207,D,74,3,11,15,26,$575'000.00
Jaromir Jagr,1972,75,230,RW,82,16,30,2,56,$4'000'000.00
Mark Jankowski,1994,76,202,C,1,0,0,0,0,$925'000.00
Calle Jarnkrok,1991,71,186,C,81,15,16,-1,25,$1'700'000.00
Dmitrij Jaskin,1993,74,196,RW,51,1,10,5,18,$1'000'000.00
Boone Jenner,1993,74,216,C,82,18,16,14,52,$2'900'000.00
Nick Jensen,1990,72,196,D,49,4,9,-7,12,$600'000.00
Nicklas Jensen,1993,75,216,RW,7,0,0,-2,0,$600'000.00
Ryan Johansen,1992,75,218,C,82,14,47,1,60,$6'000'000.00
Marcus Johansson,1990,73,204,LW,82,24,34,25,10,$4'250'000.00
Stephen Johns,1992,76,230,D,61,4,6,-10,36,$650'000.00
Erik Johnson,1988,76,225,D,46,2,15,-6,9,$6'000'000.00
Jack Johnson,1987,73,226,D,82,5,18,23,32,$5'000'000.00
Tyler Johnson,1990,68,183,C,66,19,26,-5,28,$4'000'000.00
Ryan Johnston,1992,70,180,D,7,0,0,-3,4,$692'500.00
Jussi Jokinen,1983,71,198,LW,69,11,17,-15,39,$4'000'000.00
Jyrki Jokipakka,1991,75,215,D,41,1,5,-4,12,$900'000.00
Connor Jones,1990,69,176,C,4,0,0,1,2,$575'000.00
Seth Jones,1994,76,220,D,75,12,30,6,24,$5'400'000.00
Josh Jooris,1990,73,197,RW,54,4,8,-2,16,$600'000.00
Jacob Josefson,1991,72,190,C,38,1,9,-1,16,$1'100'000.00
Roman Josi,1990,73,201,D,72,12,37,7,18,$4'250'000.00
Tyson Jost,1998,71,191,C,6,1,0,-5,0,$900'000.00
Tomas Jurco,1992,74,188,LW,29,1,0,-12,4,$950'000.00
Nazem Kadri,1990,72,195,C,82,32,29,-7,95,$5'000'000.00
Sergey Kalinin,1991,75,200,C,43,2,2,-14,15,$800'000.00
Vladislav Kamenev,1996,74,194,LW,2,0,0,-1,2,$742'500.00
Steven Kampfer,1988,71,192,D,11,1,1,-2,6,$625'000.00
Evander Kane,1991,74,211,LW,70,28,15,-17,113,$6'000'000.00
Patrick Kane,1988,71,177,RW,82,34,55,11,32,$13'800'000.00
Kasperi Kapanen,1996,73,185,RW,8,1,0,-2,0,$925'000.00
Michael Kapla,1994,72,200,D,5,0,0,-1,0,$925'000.00
Erik Karlsson,1990,72,191,D,77,17,54,10,28,$7'000'000.00
Melker Karlsson,1990,72,180,C,67,11,11,7,22,$1'850'000.00
William Karlsson,1993,73,189,C,81,6,19,10,10,$1'000'000.00
Ondrej Kase,1995,72,180,RW,53,5,10,-1,18,$645'000.00
Zack Kassian,1991,75,207,RW,79,7,17,4,101,$1'500'000.00
Bracken Kearns,1981,72,200,C,2,0,0,-1,2,$800'000.00
Duncan Keith,1983,73,192,D,80,6,47,22,16,$6'000'000.00
Clayton Keller,1998,70,168,C,3,0,2,-3,0,$900'000.00
Chris Kelly,1980,72,190,C,82,5,7,-17,23,$900'000.00
Adrian Kempe,1996,74,202,LW,25,2,4,-3,6,$925'000.00
Michal Kempny,1990,72,194,D,50,2,6,1,22,
Nicolas Kerdiles,1994,74,191,LW,1,0,0,1,0,$925'000.00
Tanner Kero,1992,72,185,C,47,6,10,15,8,$667'500.00
Ryan Kesler,1984,74,202,C,82,22,36,8,83,$7'875'000.00
Phil Kessel,1987,72,202,RW,82,23,47,3,20,$9'000'000.00
Jujhar Khaira,1994,76,219,LW,10,1,0,1,2,$832'500.00
Alex Killorn,1989,73,196,LW,81,19,17,-9,66,$4'450'000.00
Jakub Kindl,1987,75,199,D,39,0,4,-11,28,$3'000'000.00
Dwight King,1989,76,229,LW,80,9,7,-2,12,$2'100'000.00
Oscar Klefbom,1993,75,220,D,82,12,26,7,6,$3'000'000.00
Kevin Klein,1984,73,206,D,60,3,11,5,31,$2'750'000.00
John Klingberg,1992,74,180,D,80,13,36,2,34,$2'750'000.00
Slater Koekkoek,1994,74,193,D,29,0,4,-4,8,$832'500.00
Mikko Koivu,1983,75,215,C,80,18,40,27,34,$5'400'000.00
Leo Komarov,1987,71,210,C,82,14,18,6,31,$2'950'000.00
Travis Konecny,1997,70,175,C,70,11,17,-2,49,$925'000.00
Anze Kopitar,1987,75,224,C,76,12,40,-10,28,$14'000'000.00
Lauri Korpikoski,1986,73,193,LW,69,8,12,5,10,$1'000'000.00
Kalle Kossila,1993,71,175,LW,1,0,0,0,0,$925'000.00
Chris Kreider,1991,75,228,LW,75,28,25,6,58,$5'000'000.00
David Krejci,1986,72,186,C,82,23,31,-12,26,$7'250'000.00
Niklas Kronwall,1981,72,194,D,57,2,11,-7,32,$5'500'000.00
Torey Krug,1991,69,186,D,81,8,43,-10,37,$5'000'000.00
Marcus Kruger,1990,72,186,C,70,5,12,7,34,$3'475'000.00
Nikita Kucherov,1993,71,178,RW,74,40,45,13,38,$4'250'000.00
Tom Kuhnhackl,1992,74,196,RW,57,4,12,8,18,$590'000.00
Brett Kulak,1994,74,187,D,21,0,3,-3,12,$680'000.00
Nikolay Kulemin,1986,73,225,LW,72,12,11,3,18,$4'250'000.00
Dmitry Kulikov,1990,73,204,D,47,2,3,-26,26,$4'500'000.00
Chris Kunitz,1979,72,195,LW,71,9,20,0,36,$3'550'000.00
Sean Kuraly,1993,74,205,C,8,0,1,-1,2,$692'500.00
Evgeny Kuznetsov,1992,74,192,C,82,19,40,18,46,$3'400'000.00
Kevin Labanc,1995,71,185,RW,55,8,12,9,22,$667'500.00
Joseph Labate,1993,77,210,C,13,0,0,-2,21,$680'000.00
Andrew Ladd,1985,75,200,LW,78,23,8,-14,45,$8'000'000.00
Paul Ladue,1992,74,201,D,22,0,8,-5,4,$925'000.00
Patrik Laine,1998,77,206,RW,73,36,28,7,26,$925'000.00
Anton Lander,1991,72,184,C,22,1,3,2,6,$1'050'000.00
Gabriel Landeskog,1992,73,215,LW,72,18,15,-25,62,$5'500'000.00
Nick Lappin,1992,73,174,RW,43,4,3,-17,17,$842'500.00
Dylan Larkin,1996,73,190,C,80,17,15,-28,37,$925'000.00
Philip Larsen,1989,73,185,D,26,1,5,-8,4,$1'025'000.00
Adam Larsson,1992,75,215,D,79,4,15,21,55,$3'000'000.00
Jacob Larsson,1997,74,191,D,4,0,0,-1,2,$925'000.00
Johan Larsson,1992,71,200,C,36,6,5,-7,20,$950'000.00
Brian Lashoff,1990,75,221,D,5,0,0,-3,0,$650'000.00
Scott Laughton,1994,73,190,C,2,0,0,0,0,$832'500.00
Curtis Lazar,1995,72,209,C,37,1,3,-8,4,$832'500.00
Nick Leddy,1991,72,199,D,81,11,35,-3,12,$4'500'000.00
Anders Lee,1990,75,228,LW,81,34,18,9,56,$3'500'000.00
Artturi Lehkonen,1995,72,182,LW,73,18,10,-1,8,$667'500.00
Jori Lehtera,1987,74,212,C,64,7,15,-6,34,$4'400'000.00
Taylor Leier,1994,70,174,LW,10,1,1,-1,4,$768'150.00
Josh Leivo,1993,74,205,LW,13,2,8,2,4,$575'000.00
Brett Lernout,1995,76,213,D,2,0,0,-1,0,$660'000.00
Kris Letang,1987,72,201,D,41,5,29,2,32,$7'250'000.00
Mark Letestu,1985,70,197,C,78,16,19,-2,17,$1'800'000.00
Trevor Lewis,1987,73,201,C,82,12,12,-6,30,$2'000'000.00
Mike Liambas,1989,70,203,LW,1,0,0,-1,0,$575'000.00
John-Michael Liles,1980,70,185,D,36,0,5,1,4,$2'000'000.00
Oscar Lindberg,1991,73,202,C,65,8,12,2,32,$700'000.00
Petteri Lindbohm,1993,75,198,D,7,0,0,-4,4,$645'000.00
Esa Lindell,1994,75,215,D,73,6,12,8,22,$802'500.00
Anton Lindholm,1994,71,191,D,12,0,0,-8,2,$667'500.00
Elias Lindholm,1994,73,192,C,72,11,34,-2,16,$2'500'000.00
Hampus Lindholm,1994,75,205,D,66,6,14,13,36,$3'000'000.00
Bryan Little,1987,72,191,C,59,21,26,-7,18,$5'000'000.00
Matt Lorito,1990,69,170,LW,2,0,1,0,0,
Ben Lovejoy,1984,73,206,D,82,1,6,-7,39,$2'500'000.00
Adam Lowry,1993,77,210,C,82,15,14,1,52,$1'000'000.00
Milan Lucic,1988,75,236,LW,82,23,27,-3,50,$8'000'000.00
Roman Lyubimov,1992,74,207,LW,47,4,2,-2,8,
Olli Maatta,1994,74,206,D,55,1,6,17,12,$4'083'300.00
Clarke MacArthur,1985,72,192,LW,4,0,0,-1,0,$4'500'000.00
Andrew MacDonald,1986,73,204,D,73,2,16,-5,26,$4'750'000.00
Derek MacKenzie,1981,71,181,C,82,6,10,-7,50,$1'300'000.00
Nathan MacKinnon,1995,72,205,C,82,16,37,-14,16,$5'000'000.00
Denis Malgin,1997,69,177,C,47,6,4,-5,8,$640'000.00
Evgeni Malkin,1986,75,195,C,62,33,39,18,77,$9'500'000.00
Sean Malone,1995,72,190,C,1,0,0,0,0,$925'000.00
Brandon Manning,1990,73,205,D,65,3,9,-12,83,$950'000.00
Josh Manson,1991,75,215,D,82,5,12,14,82,$825'000.00
Anthony Mantha,1994,77,221,RW,60,17,19,10,53,$832'500.00
Brad Marchand,1988,69,181,LW,80,39,46,18,81,$5'000'000.00
Alexey Marchenko,1992,75,210,D,41,1,7,7,12,$1'300'000.00
Jonathan Marchessault,1990,69,174,C,75,30,21,-21,38,$750'000.00
Martin Marincin,1992,76,210,D,25,1,6,3,16,$1'200'000.00
Andrei Markov,1978,72,200,D,62,6,30,18,16,$4'250'000.00
Patrick Marleau,1979,74,215,LW,82,27,19,4,28,$6'500'000.00
Mitchell Marner,1997,72,170,C,77,19,42,0,38,$925'000.00
Patrick Maroon,1988,75,227,LW,81,27,15,13,95,$2'000'000.00
Matt Martin,1989,75,220,LW,82,5,4,0,123,$3'500'000.00
Paul Martin,1981,73,200,D,81,4,22,10,20,$5'000'000.00
Alec Martinez,1987,73,212,D,82,9,30,-17,24,$3'900'000.00
Jordan Martinook,1992,72,202,LW,77,11,14,-8,40,$625'000.00
Andreas Martinsen,1990,75,220,LW,64,3,4,-14,32,$640'000.00
Michael Matheson,1994,74,192,D,81,7,10,-5,36,$925'000.00
Auston Matthews,1997,75,216,C,82,40,29,2,14,$925'000.00
Shawn Matthias,1988,76,231,LW,45,8,4,0,13,$2'125'000.00
Scott Mayfield,1992,76,224,D,25,2,7,-1,35,$575'000.00
Jamie McBain,1988,73,180,D,3,0,0,-1,0,$650'000.00
Jake McCabe,1993,73,209,D,76,3,17,-7,26,$1'250'000.00
Jared McCann,1996,73,198,C,29,1,6,-1,4,$925'000.00
Michael McCarron,1995,78,231,RW,31,1,4,-4,41,$832'500.00
Jay McClement,1983,73,205,C,65,5,3,-8,18,$1'100'000.00
Max McCormick,1992,71,188,RW,7,0,0,-3,0,$650'000.00
Ian McCoshen,1995,75,217,D,3,0,1,0,0,$925'000.00
Connor McDavid,1997,73,200,C,82,30,70,27,26,$925'000.00
Ryan McDonagh,1989,73,216,D,77,6,36,20,37,$5'000'000.00
Colin McDonald,1984,74,219,RW,3,1,0,1,0,$625'000.00
Evan McEneny,1994,74,203,D,1,0,0,-1,0,$575'000.00
Brock McGinn,1994,72,185,LW,57,7,9,-11,6,$800'000.00
Jamie McGinn,1988,73,205,LW,72,9,8,-23,23,$3'000'000.00
Dylan McIlrath,1992,77,236,D,6,1,0,-2,14,$800'000.00
Greg McKegg,1992,72,191,C,46,3,4,-3,22,$700'000.00
Curtis McKenzie,1991,74,205,LW,53,6,10,5,72,$700'000.00
Cody McLeod,1984,74,210,LW,59,5,1,-3,145,$1'250'000.00
Brayden McNabb,1991,76,212,D,49,2,2,1,54,$1'600'000.00
Mark McNeill,1993,74,214,C,1,0,0,-1,0,$600'000.00
Adam Mcquaid,1986,76,212,D,77,2,8,4,71,$3'000'000.00
Wade Megan,1990,73,192,C,3,1,0,1,0,
Jaycob Megna,1992,78,225,D,1,0,0,1,0,$925'000.00
Jayson Megna,1990,73,195,C,58,4,4,-4,6,$600'000.00
Timo Meier,1996,72,210,RW,34,3,3,1,10,$925'000.00
Julian Melchiori,1991,77,214,D,18,0,2,0,8,$600'000.00
Jon Merrill,1992,75,205,D,51,1,5,-9,24,$1'000'000.00
Marc Methot,1985,75,220,D,68,0,12,13,24,$4'900'000.00
